Model,Site,Time,f
YNGKP_M0,1,18,0.08029305134930324
YNGKP_M0,1,19,0.0774357736194293
YNGKP_M0,1,20,0.07493829688285629
YNGKP_M0,1,21,0.0727436041975335
YNGKP_M0,1,22,0.07080571290807101
YNGKP_M0,1,23,0.06908720705699876
YNGKP_M0,1,24,0.06755738032412097
YNGKP_M0,1,25,0.0661908264889614
YNGKP_M0,1,26,0.06496636076070411
YNGKP_M0,1,27,0.06386618773741026
YNGKP_M0,1,28,0.06287525464733049
YNGKP_M0,1,29,0.061980744835042144
YNGKP_M0,1,30,0.06117167817477298
YNGKP_M0,1,31,0.06043859358228624
YNGKP_M0,1,32,0.05977329499263193
YNGKP_M0,1,33,0.059168646726245125
YNGKP_M0,1,34,0.05861840753805702
YNGKP_M0,1,35,0.05811709515731324
YNGKP_M0,1,36,0.05765987501051363
YNGKP_M0,1,37,0.057242468242072714
YNGKP_M0,1,38,0.05686107522681782
YNGKP_M0,1,39,0.05651231159255391
YNGKP_M0,1,40,0.05619315440354926
YNGKP_M0,1,41,0.055900896644055106
YNGKP_M0,1,42,0.05563310851979194
YNGKP_M0,1,43,0.05538760439075972
YNGKP_M0,1,44,0.055162414380281063
YNGKP_M0,1,45,0.054955759887572536
YNGKP_M0,1,46,0.05476603237550226
YNGKP_M0,1,47,0.054591774920006074
YNGKP_M0,1,48,0.05443166609938281
YNGKP_M0,1,49,0.05428450587534855
YNGKP + wr,1,0,1.0
YNGKP + wr,1,1,0.5265919574559467
YNGKP + wr,1,2,0.3566846757885743
YNGKP + wr,1,3,0.26075839981935606
YNGKP + wr,1,4,0.20212237290276253
YNGKP + wr,1,5,0.16409230418120474
YNGKP + wr,1,6,0.13823900361841823
YNGKP + wr,1,7,0.11996788704145461
YNGKP + wr,1,8,0.10662570830322299
YNGKP + wr,1,9,0.0966077980399182
YNGKP + wr,1,10,0.08890530535749157
YNGKP + wr,1,11,0.08286225980566173
YNGKP + wr,1,12,0.07803917215086739
YNGKP + wr,1,13,0.07413350469083803
YNGKP + wr,1,14,0.07093177314786484
YNGKP + wr,1,15,0.06827986678401858
YNGKP + wr,1,16,0.06606418333852827
YNGKP + wr,1,17,0.0641993574682875
YNGKP + wr,1,18,0.06262010624536049
YNGKP + wr,1,19,0.06127570173752977
YNGKP + wr,1,20,0.060126153658100034
YNGKP + wr,1,21,0.0591395259650072
YNGKP + wr,1,22,0.05829001855684653
YNGKP + wr,1,23,0.05755657374435977
YNGKP + wr,1,24,0.05692184833635709
YNGKP + wr,1,25,0.05637144429345188
YNGKP + wr,1,26,0.055893324893565216
YNGKP + wr,1,27,0.05547736585056761
YNGKP + wr,1,28,0.05511500592564624
YNGKP + wr,1,29,0.05479897183778119
YNGKP + wr,1,30,0.054523059349388885
YNGKP + wr,1,31,0.05428195733036278
YNGKP + wr,1,32,0.05407110507782243
YNGKP + wr,1,33,0.053886575646123175
YNGKP + wr,1,34,0.05372497972752453
YNGKP + wr,1,35,0.053583385925144056
YNGKP + wr,1,36,0.05345925421787593
YNGKP + wr,1,37,0.05335038012957211
YNGKP + wr,1,38,0.0532548476501604
YNGKP + wr,1,39,0.0531709893625352
YNGKP + wr,1,40,0.053097352540133896
YNGKP + wr,1,41,0.053032670220575034
YNGKP + wr,1,42,0.05297583644828382
YNGKP + wr,1,43,0.05292588502657395
YNGKP + wr,1,44,0.05288197123668772
YNGKP + wr,1,45,0.05284335607486172
YNGKP + wr,1,46,0.05280939263384935
YNGKP + wr,1,47,0.05277951431646211
YNGKP + wr,1,48,0.05275322461860731
YNGKP + wr,1,49,0.05273008826030919
YNGKP_M5,1,0,1.0
YNGKP_M5,1,1,0.5556779956212359
YNGKP_M5,1,2,0.42913876445824617
YNGKP_M5,1,3,0.3556059700524306
YNGKP_M5,1,4,0.30616508940997794
YNGKP_M5,1,5,0.270146556462376
YNGKP_M5,1,6,0.24252671759349315
YNGKP_M5,1,7,0.2205747629888249
YNGKP_M5,1,8,0.2026583167440031
YNGKP_M5,1,9,0.18773295336516416
YNGKP_M5,1,10,0.17509522538823913
YNGKP_M5,1,11,0.16425188452097253
YNGKP_M5,1,12,0.15484564947042745
YNGKP_M5,1,13,0.1466106722965637
YNGKP_M5,1,14,0.13934459004496516
YNGKP_M5,1,15,0.13289031990624242
YNGKP_M5,1,16,0.12712382616228582
YNGKP_M5,1,17,0.12194568014391716
YNGKP_M5,1,18,0.11727510333707547
YNGKP_M5,1,19,0.1130456787419874
YNGKP_M5,1,20,0.10920220838470623
YNGKP_M5,1,21,0.1056983738635363
YNGKP_M5,1,22,0.10249496939723762
YNGKP_M5,1,23,0.09955854944918117
YNGKP_M5,1,24,0.09686038086231503
YNGKP_M5,1,25,0.09437562160248861
YNGKP_M5,1,26,0.09208267019472864
YNGKP_M5,1,27,0.0899626452004259
YNGKP_M5,1,28,0.08799896482736792
YNGKP_M5,1,29,0.08617700442379776
YNGKP_M5,1,30,0.08448381513201726
YNGKP_M5,1,31,0.08290789100505823
YNGKP_M5,1,32,0.08143897485695556
YNGKP_M5,1,33,0.08006789532373708
YNGKP_M5,1,34,0.07878642926833118
YNGKP_M5,1,35,0.0775871849163969
YNGKP_M5,1,36,0.07646350206728648
YNGKP_M5,1,37,0.07540936646101169
YNGKP_M5,1,38,0.07441933595342637
YNGKP_M5,1,39,0.07348847659828028
YNGKP_M5,1,40,0.07261230708617479
YNGKP_M5,1,41,0.07178675026893143
YNGKP_M5,1,42,0.07100809072008477
YNGKP_M5,1,43,0.0702729374606507
YNGKP_M5,1,44,0.06957819112351749
YNGKP_M5,1,45,0.0689210149470284
YNGKP_M5,1,46,0.0682988090841673
YNGKP_M5,1,47,0.06770918779255058
YNGKP_M5,1,48,0.06714995913554865
YNGKP_M5,1,49,0.06661910687894673
ExpCM,2,0,1.0
ExpCM,2,1,0.6144776172364271
ExpCM,2,2,0.4437729027553987
ExpCM,2,3,0.34943801623261533
ExpCM,2,4,0.28968678160531697
ExpCM,2,5,0.24862564081895563
ExpCM,2,6,0.21900266506820626
ExpCM,2,7,0.19696880193915625
ExpCM,2,8,0.18023455582071912
ExpCM,2,9,0.16732706785969795
ExpCM,2,10,0.15724832596148822
ExpCM,2,11,0.14929796002795218
ExpCM,2,12,0.14297203243122378
ExpCM,2,13,0.1379009399753235
ExpCM,2,14,0.13380933829826616
ExpCM,2,15,0.13048934298288367
ExpCM,2,16,0.12778213954194803
ExpCM,2,17,0.12556511024961167
ExpCM,2,18,0.12374267496231894
ExpCM,2,19,0.12223968214313127
ExpCM,2,20,0.12099657929623239
ExpCM,2,21,0.11996584218628434
ExpCM,2,22,0.11910930560301025
ExpCM,2,23,0.11839614724862926
ExpCM,2,24,0.11780134993804937
ExpCM,2,25,0.11730451775075931
ExpCM,2,26,0.11688895674312476
ExpCM,2,27,0.11654095532170461
ExpCM,2,28,0.11624921669906245
ExpCM,2,29,0.1160044082179139
ExpCM,2,30,0.11579880123661469
ExpCM,2,31,0.11562598174372495
ExpCM,2,32,0.1154806166182216
ExpCM,2,33,0.11535826396595732
ExpCM,2,34,0.11525521858618525
ExpCM,2,35,0.11516838559718692
ExpCM,2,36,0.11509517674994174
ExpCM,2,37,0.1150334251070929
ExpCM,2,38,0.11498131465055586
ExpCM,2,39,0.11493732206999975
ExpCM,2,40,0.1149001685238021
ExpCM,2,41,0.114868779589191
ExpCM,2,42,0.11484225195541514
ExpCM,2,43,0.11481982568265817
ExpCM,2,44,0.11480086106497632
ExpCM,2,45,0.11478481930917883
ExpCM,2,46,0.11477124638205408
ExpCM,2,47,0.11475975949244184
ExpCM,2,48,0.11475003576765146
ExpCM,2,49,0.11474180275977003
YNGKP_M0,2,0,1.0
YNGKP_M0,2,1,0.62707983716728
YNGKP_M0,2,2,0.47534519522532126
YNGKP_M0,2,3,0.3733318983042162
YNGKP_M0,2,4,0.3020139003261306
YNGKP_M0,2,5,0.25060135535098405
YNGKP_M0,2,6,0.21259455096431096
YNGKP_M0,2,7,0.18389135185954444
YNGKP_M0,2,8,0.1618054913485507
YNGKP_M0,2,9,0.14452507787985558
YNGKP_M0,2,10,0.1307980984375611
YNGKP_M0,2,11,0.11974170738738732
YNGKP_M0,2,12,0.11072239408429672
YNGKP_M0,2,13,0.10327846297011772
YNGKP_M0,2,14,0.09706866896545753
YNGKP_M0,2,15,0.09183749373130032
YNGKP_M0,2,16,0.087391265668084
YNGKP_M0,2,17,0.08358148937519755
YNGKP_M0,2,18,0.08029305134930324
YNGKP_M0,2,19,0.0774357736194293
YNGKP_M0,2,20,0.07493829688285629
YNGKP_M0,2,21,0.0727436041975335
YNGKP_M0,2,22,0.07080571290807101
YNGKP_M0,2,23,0.06908720705699876
YNGKP_M0,2,24,0.06755738032412097
YNGKP_M0,2,25,0.0661908264889614
YNGKP_M0,2,26,0.06496636076070411
YNGKP_M0,2,27,0.06386618773741026
YNGKP_M0,2,28,0.06287525464733049
YNGKP_M0,2,29,0.061980744835042144
YNGKP_M0,2,30,0.06117167817477298
YNGKP_M0,2,31,0.06043859358228624
YNGKP_M0,2,32,0.05977329499263193
YNGKP_M0,2,33,0.059168646726245125
YNGKP_M0,2,34,0.05861840753805702
YNGKP_M0,2,35,0.05811709515731324
YNGKP_M0,2,36,0.05765987501051363
YNGKP_M0,2,37,0.057242468242072714
YNGKP_M0,2,38,0.05686107522681782
YNGKP_M0,2,39,0.05651231159255391
YNGKP_M0,2,40,0.05619315440354926
YNGKP_M0,2,41,0.055900896644055106
YNGKP_M0,2,42,0.05563310851979194
YNGKP_M0,2,43,0.05538760439075972
YNGKP_M0,2,44,0.055162414380281063
YNGKP_M0,2,45,0.054955759887572536
YNGKP_M0,2,46,0.05476603237550226
YNGKP_M0,2,47,0.054591774920006074
YNGKP_M0,2,48,0.05443166609938281
YNGKP_M0,2,49,0.05428450587534855
YNGKP + wr,2,0,1.0
YNGKP + wr,2,1,0.5345748552579849
YNGKP + wr,2,2,0.36523057040033013
YNGKP + wr,2,3,0.26826606706107164
YNGKP + wr,2,4,0.20838739045199045
YNGKP + wr,2,5,0.16925822033043053
YNGKP + wr,2,6,0.1425104244952956
YNGKP + wr,2,7,0.12353097744003205
YNGKP + wr,2,8,0.10963096396747452
YNGKP + wr,2,9,0.09917158008252346
YNGKP + wr,2,10,0.09111609334118927
YNGKP + wr,2,11,0.08478710748615673
YNGKP + wr,2,12,0.07972910158035539
YNGKP + wr,2,13,0.07562767317568769
YNGKP + wr,2,14,0.07226058028601687
YNGKP + wr,2,15,0.06946723281586345
YNGKP + wr,2,16,0.06712920775655931
YNGKP + wr,2,17,0.06515752408290812
YNGKP + wr,2,18,0.06348415981816424
YNGKP + wr,2,19,0.06205628786083707
YNGKP + wr,2,20,0.06083228815363396
YNGKP + wr,2,21,0.059778941397996374
YNGKP + wr,2,22,0.05886942196369062
YNGKP + wr,2,23,0.05808183999951165
YNGKP + wr,2,24,0.05739816667887315
YNGKP + wr,2,25,0.05680343060831803
YNGKP + wr,2,26,0.0562851088266967
YNGKP + wr,2,27,0.05583265932134932
YNGKP + wr,2,28,0.05543715779748476
YNGKP + wr,2,29,0.05509101221045096
YNGKP + wr,2,30,0.054787736001983695
YNGKP + wr,2,31,0.054521766167658116
YNGKP + wr,2,32,0.05428831594282955
YNGKP + wr,2,33,0.0540832545055499
YNGKP + wr,2,34,0.05390300797756191
YNGKP + wr,2,35,0.05374447737577772
YNGKP + wr,2,36,0.05360497017556617
YNGKP + wr,2,37,0.053482142896778766
YNGKP + wr,2,38,0.05337395268575985
YNGKP + wr,2,39,0.05327861629239285
YNGKP + wr,2,40,0.053194575166648606
YNGKP + wr,2,41,0.05312046565003785
YNGKP + wr,2,42,0.05305509343256956
YNGKP + wr,2,43,0.052997411598952174
YNGKP + wr,2,44,0.052946501708895206
YNGKP + wr,2,45,0.05290155745292276
YNGKP + wr,2,46,0.0528618705026596
YNGKP + wr,2,47,0.05282681823728337
YNGKP + wr,2,48,0.05279585307892555
YNGKP + wr,2,49,0.05276849321167771
YNGKP_M5,2,0,1.0
YNGKP_M5,2,1,0.5556779956212359
YNGKP_M5,2,2,0.42913876445824617
YNGKP_M5,2,3,0.3556059700524306
YNGKP_M5,2,4,0.30616508940997794
YNGKP_M5,2,5,0.270146556462376
YNGKP_M5,2,6,0.24252671759349315
YNGKP_M5,2,7,0.2205747629888249
YNGKP_M5,2,8,0.2026583167440031
YNGKP_M5,2,9,0.18773295336516416
YNGKP_M5,2,10,0.17509522538823913
YNGKP_M5,2,11,0.16425188452097253
YNGKP_M5,2,12,0.15484564947042745
YNGKP_M5,2,13,0.1466106722965637
YNGKP_M5,2,14,0.13934459004496516
YNGKP_M5,2,15,0.13289031990624242
YNGKP_M5,2,16,0.12712382616228582
YNGKP_M5,2,17,0.12194568014391716
YNGKP_M5,2,18,0.11727510333707547
YNGKP_M5,2,19,0.1130456787419874
YNGKP_M5,2,20,0.10920220838470623
YNGKP_M5,2,21,0.1056983738635363
YNGKP_M5,2,22,0.10249496939723762
YNGKP_M5,2,23,0.09955854944918117
YNGKP_M5,2,24,0.09686038086231503
YNGKP_M5,2,25,0.09437562160248861
YNGKP_M5,2,26,0.09208267019472864
YNGKP_M5,2,27,0.0899626452004259
YNGKP_M5,2,28,0.08799896482736792
YNGKP_M5,2,29,0.08617700442379776
YNGKP_M5,2,30,0.08448381513201726
YNGKP_M5,2,31,0.08290789100505823
YNGKP_M5,2,32,0.08143897485695556
YNGKP_M5,2,33,0.08006789532373708
YNGKP_M5,2,34,0.07878642926833118
YNGKP_M5,2,35,0.0775871849163969
YNGKP_M5,2,36,0.07646350206728648
YNGKP_M5,2,37,0.07540936646101169
YNGKP_M5,2,38,0.07441933595342637
YNGKP_M5,2,39,0.07348847659828028
YNGKP_M5,2,40,0.07261230708617479
YNGKP_M5,2,41,0.07178675026893143
YNGKP_M5,2,42,0.07100809072008477
YNGKP_M5,2,43,0.0702729374606507
YNGKP_M5,2,44,0.06957819112351749
YNGKP_M5,2,45,0.0689210149470284
YNGKP_M5,2,46,0.0682988090841673
YNGKP_M5,2,47,0.06770918779255058
YNGKP_M5,2,48,0.06714995913554865
YNGKP_M5,2,49,0.06661910687894673
ExpCM,3,0,1.0
ExpCM,3,1,0.6011628477823437
ExpCM,3,2,0.4234140466075121
ExpCM,3,3,0.3273121325800006
ExpCM,3,4,0.2686199182149808
ExpCM,3,5,0.2297596480038763
ExpCM,3,6,0.20259053689499842
ExpCM,3,7,0.18287093121789882
ExpCM,3,8,0.16817248913335398
ExpCM,3,9,0.15699838494410445
ExpCM,3,10,0.1483725264591906
ExpCM,3,11,0.14163090176322027
ExpCM,3,12,0.13630717182185564
ExpCM,3,13,0.1320657090588048
ExpCM,3,14,0.1286602448748222
ExpCM,3,15,0.1259072098143467
ExpCM,3,16,0.12366794981119425
ExpCM,3,17,0.12183653719227311
ExpCM,3,18,0.12033123169744143
ExpCM,3,19,0.11908839005199438
ExpCM,3,20,0.11805805586498541
ExpCM,3,21,0.11720072454395886
ExpCM,3,22,0.11648494299466852
ExpCM,3,23,0.11588551051403667
ExpCM,3,24,0.11538211783299543
ExpCM,3,25,0.1149583088824503
ExpCM,3,26,0.1146006825471046
ExpCM,3,27,0.11429827444881027
ExpCM,3,28,0.11404207487559291
ExpCM,3,29,0.11382465044679088
ExpCM,3,30,0.1136398453795416
ExpCM,3,31,0.11348254424497038
ExpCM,3,32,0.11334848252412456
ExpCM,3,33,0.113234094545426
ExpCM,3,34,0.11313639082413057
ExpCM,3,35,0.11305285865465536
ExpCM,3,36,0.11298138118939319
ExpCM,3,37,0.112920171288711
ExpCM,3,38,0.11286771723050122
ExpCM,3,39,0.112822737985627
ExpCM,3,40,0.11278414624335822
ExpCM,3,41,0.11275101774218126
ExpCM,3,42,0.11272256575136338
ExpCM,3,43,0.1126981197762686
ExpCM,3,44,0.11267710773992101
ExpCM,3,45,0.11265904103552153
ExpCM,3,46,0.11264350195779299
ExpCM,3,47,0.11263013311148287
ExpCM,3,48,0.11261862846795899
ExpCM,3,49,0.11260872579935176
YNGKP_M0,3,0,1.0
YNGKP_M0,3,1,0.62707983716728
YNGKP_M0,3,2,0.47534519522532126
YNGKP_M0,3,3,0.3733318983042162
YNGKP_M0,3,4,0.3020139003261306
YNGKP_M0,3,5,0.25060135535098405
YNGKP_M0,3,6,0.21259455096431096
YNGKP_M0,3,7,0.18389135185954444
YNGKP_M0,3,8,0.1618054913485507
YNGKP_M0,3,9,0.14452507787985558
YNGKP_M0,3,10,0.1307980984375611
YNGKP_M0,3,11,0.11974170738738732
YNGKP_M0,3,12,0.11072239408429672
YNGKP_M0,3,13,0.10327846297011772
YNGKP_M0,3,14,0.09706866896545753
YNGKP_M0,3,15,0.09183749373130032
YNGKP_M0,3,16,0.087391265668084
YNGKP_M0,3,17,0.08358148937519755
YNGKP_M0,3,18,0.08029305134930324
YNGKP_M0,3,19,0.0774357736194293
YNGKP_M0,3,20,0.07493829688285629
YNGKP_M0,3,21,0.0727436041975335
YNGKP_M0,3,22,0.07080571290807101
YNGKP_M0,3,23,0.06908720705699876
YNGKP_M0,3,24,0.06755738032412097
YNGKP_M0,3,25,0.0661908264889614
YNGKP_M0,3,26,0.06496636076070411
YNGKP_M0,3,27,0.06386618773741026
YNGKP_M0,3,28,0.06287525464733049
YNGKP_M0,3,29,0.061980744835042144
YNGKP_M0,3,30,0.06117167817477298
YNGKP_M0,3,31,0.06043859358228624
YNGKP_M0,3,32,0.05977329499263193
YNGKP_M0,3,33,0.059168646726245125
YNGKP_M0,3,34,0.05861840753805702
YNGKP_M0,3,35,0.05811709515731324
YNGKP_M0,3,36,0.05765987501051363
YNGKP_M0,3,37,0.057242468242072714
YNGKP_M0,3,38,0.05686107522681782
YNGKP_M0,3,39,0.05651231159255391
YNGKP_M0,3,40,0.05619315440354926
YNGKP_M0,3,41,0.055900896644055106
YNGKP_M0,3,42,0.05563310851979194
YNGKP_M0,3,43,0.05538760439075972
YNGKP_M0,3,44,0.055162414380281063
YNGKP_M0,3,45,0.054955759887572536
YNGKP_M0,3,46,0.05476603237550226
YNGKP_M0,3,47,0.054591774920006074
YNGKP_M0,3,48,0.05443166609938281
YNGKP_M0,3,49,0.05428450587534855
YNGKP + wr,3,0,1.0
YNGKP + wr,3,1,0.5289301462487133
YNGKP + wr,3,2,0.3591725172491094
YNGKP + wr,3,3,0.26293418153868553
YNGKP + wr,3,4,0.20393188778638072
YNGKP + wr,3,5,0.1655805949125198
YNGKP + wr,3,6,0.1394673040097053
YNGKP + wr,3,7,0.12099111891678827
YNGKP + wr,3,8,0.10748790479181666
YNGKP + wr,3,9,0.09734280888397528
YNGKP + wr,3,10,0.08953875872604472
YNGKP + wr,3,11,0.08341351448622121
YNGKP + wr,3,12,0.07852292274847295
YNGKP + wr,3,13,0.07456100947844874
YNGKP + wr,3,14,0.07131176313904332
YNGKP + wr,3,15,0.06861920866911585
YNGKP + wr,3,16,0.06636835990752138
YNGKP + wr,3,17,0.06447281532539322
YNGKP + wr,3,18,0.06286650792496232
YNGKP + wr,3,19,0.06149810921156362
YNGKP + wr,3,20,0.06032716263070281
YNGKP + wr,3,21,0.05932136481603628
YNGKP + wr,3,22,0.05845462182280241
YNGKP + wr,3,23,0.05770563719361987
YNGKP + wr,3,24,0.05705687068336699
YNGKP + wr,3,25,0.056493759166933874
YNGKP + wr,3,26,0.0560041256568584
YNGKP + wr,3,27,0.05557772514719834
YNGKP + wr,3,28,0.0552058913049428
YNGKP + wr,3,29,0.054881258443770266
YNGKP + wr,3,30,0.05459754038904291
YNGKP + wr,3,31,0.054349352844635615
YNGKP + wr,3,32,0.054132069399662086
YNGKP + wr,3,33,0.053941703828747446
YNGKP + wr,3,34,0.053774813152972195
YNGKP + wr,3,35,0.05362841724979179
YNGKP + wr,3,36,0.05349993177273193
YNGKP + wr,3,37,0.053387111864749905
YNGKP + wr,3,38,0.05328800469213388
YNGKP + wr,3,39,0.05320090923750078
YNGKP + wr,3,40,0.0531243421055531
YNGKP + wr,3,41,0.05305700833864553
YNGKP + wr,3,42,0.052997776428893084
YNGKP + wr,3,43,0.052945656862648
YNGKP + wr,3,44,0.05289978365133639
YNGKP + wr,3,45,0.052859398397034615
YNGKP + wr,3,46,0.05282383651712902
YNGKP + wr,3,47,0.05279251531397249
YNGKP + wr,3,48,0.052764923625687084
YNGKP + wr,3,49,0.05274061283550681
YNGKP_M5,3,0,1.0
YNGKP_M5,3,1,0.5556779956212359
YNGKP_M5,3,2,0.42913876445824617
YNGKP_M5,3,3,0.3556059700524306
YNGKP_M5,3,4,0.30616508940997794
YNGKP_M5,3,5,0.270146556462376
YNGKP_M5,3,6,0.24252671759349315
YNGKP_M5,3,7,0.2205747629888249
YNGKP_M5,3,8,0.2026583167440031
YNGKP_M5,3,9,0.18773295336516416
YNGKP_M5,3,10,0.17509522538823913
YNGKP_M5,3,11,0.16425188452097253
YNGKP_M5,3,12,0.15484564947042745
YNGKP_M5,3,13,0.1466106722965637
YNGKP_M5,3,14,0.13934459004496516
YNGKP_M5,3,15,0.13289031990624242
YNGKP_M5,3,16,0.12712382616228582
YNGKP_M5,3,17,0.12194568014391716
YNGKP_M5,3,18,0.11727510333707547
YNGKP_M5,3,19,0.1130456787419874
YNGKP_M5,3,20,0.10920220838470623
YNGKP_M5,3,21,0.1056983738635363
YNGKP_M5,3,22,0.10249496939723762
YNGKP_M5,3,23,0.09955854944918117
YNGKP_M5,3,24,0.09686038086231503
YNGKP_M5,3,25,0.09437562160248861
YNGKP_M5,3,26,0.09208267019472864
YNGKP_M5,3,27,0.0899626452004259
YNGKP_M5,3,28,0.08799896482736792
YNGKP_M5,3,29,0.08617700442379776
YNGKP_M5,3,30,0.08448381513201726
YNGKP_M5,3,31,0.08290789100505823
YNGKP_M5,3,32,0.08143897485695556
YNGKP_M5,3,33,0.08006789532373708
YNGKP_M5,3,34,0.07878642926833118
YNGKP_M5,3,35,0.0775871849163969
YNGKP_M5,3,36,0.07646350206728648
YNGKP_M5,3,37,0.07540936646101169
YNGKP_M5,3,38,0.07441933595342637
YNGKP_M5,3,39,0.07348847659828028
YNGKP_M5,3,40,0.07261230708617479
YNGKP_M5,3,41,0.07178675026893143
YNGKP_M5,3,42,0.07100809072008477
YNGKP_M5,3,43,0.0702729374606507
YNGKP_M5,3,44,0.06957819112351749
YNGKP_M5,3,45,0.0689210149470284
YNGKP_M5,3,46,0.0682988090841673
YNGKP_M5,3,47,0.06770918779255058
YNGKP_M5,3,48,0.06714995913554865
YNGKP_M5,3,49,0.06661910687894673
ExpCM,4,0,1.0
ExpCM,4,1,0.7643179969827422
ExpCM,4,2,0.6498683758694794
ExpCM,4,3,0.5807877132086856
ExpCM,4,4,0.5326833354373403
ExpCM,4,5,0.4959640527211819
ExpCM,4,6,0.4662416815807751
ExpCM,4,7,0.4412504712370878
ExpCM,4,8,0.4197000322187658
ExpCM,4,9,0.40079320759485454
ExpCM,4,10,0.38400259173816614
ExpCM,4,11,0.36895847247994534
ExpCM,4,12,0.35538888649332706
ExpCM,4,13,0.3430857167694301
ExpCM,4,14,0.3318845393258934
ExpCM,4,15,0.3216520834980592
ExpCM,4,16,0.3122780937785061
ExpCM,4,17,0.3036698401445161
ExpCM,4,18,0.29574828316686513
ExpCM,4,19,0.28844531030496673
ExpCM,4,20,0.28170168888324104
ExpCM,4,21,0.2754655133335088
ExpCM,4,22,0.2696910027988728
ExpCM,4,23,0.2643375532528536
ExpCM,4,24,0.25936897855618946
ExpCM,4,25,0.2547528944678946
ExpCM,4,26,0.250460212645866
ExpCM,4,27,0.24646472053513538
ExpCM,4,28,0.2427427292118526
ExpCM,4,29,0.23927277563429813
ExpCM,4,30,0.23603536892303925
ExpCM,4,31,0.23301277262333794
ExpCM,4,32,0.23018881664111554
ExpCM,4,33,0.2275487338564108
ExpCM,4,34,0.22507901742074954
ExpCM,4,35,0.2227672955182502
ExpCM,4,36,0.22060222097249826
ExpCM,4,37,0.21857337355412593
ExpCM,4,38,0.21667117321837312
ExpCM,4,39,0.2148868028004542
ExpCM,4,40,0.21321213893638646
ExpCM,4,41,0.21163969017095252
ExpCM,4,42,0.2101625413724733
ExpCM,4,43,0.20877430370362257
ExpCM,4,44,0.20746906950440738
ExpCM,4,45,0.2062413715322144
ExpCM,4,46,0.20508614607799408
ExpCM,4,47,0.20399869954000582
ExpCM,4,48,0.20297467808926486
ExpCM,4,49,0.20201004010565127
YNGKP_M0,4,0,1.0
YNGKP_M0,4,1,0.62707983716728
YNGKP_M0,4,2,0.47534519522532126
YNGKP_M0,4,3,0.3733318983042162
YNGKP_M0,4,4,0.3020139003261306
YNGKP_M0,4,5,0.25060135535098405
YNGKP_M0,4,6,0.21259455096431096
YNGKP_M0,4,7,0.18389135185954444
YNGKP_M0,4,8,0.1618054913485507
YNGKP_M0,4,9,0.14452507787985558
YNGKP_M0,4,10,0.1307980984375611
YNGKP_M0,4,11,0.11974170738738732
YNGKP_M0,4,12,0.11072239408429672
YNGKP_M0,4,13,0.10327846297011772
YNGKP_M0,4,14,0.09706866896545753
YNGKP_M0,4,15,0.09183749373130032
