FromWSN,HA_group,alignment,distance1,distance2,model_pair,seq_id,clean_model
no,HA2_HA6,HA_greater_58,6.4424,4.60187,YNGKP_M5/YNGKP_M0,cds_AAA43089_A/Berkeley/1/1968_1968//_HA_HA_2_cds_ADG44759_A/duck/Shantou/171/2004_2004//_HA_HA_6,M5/M0
no,HA2_HA2,HA_greater_58,0.69614,0.67296,YNGKP_M5/YNGKP_M0,cds_AAA43089_A/Berkeley/1/1968_1968//_HA_HA_2_cds_ADX99444_A/chicken/OH/494832/2007_2007/04/_HA_HA_2,M5/M0
no,HA2_HA5,HA_greater_58,3.10932,2.75616,YNGKP_M5/YNGKP_M0,cds_AAA43089_A/Berkeley/1/1968_1968//_HA_HA_2_cds_AFE48437_A/duck/Taiwan/DV30-2/2005_2005/10/28_HA_HA_5,M5/M0
no,HA2_HA2,HA_greater_58,0.54155,0.5231600000000001,YNGKP_M5/YNGKP_M0,cds_AAA43089_A/Berkeley/1/1968_1968//_HA_HA_2_cds_AFJ13512_A/shorebird/Delaware_Bay/24/1998_1998/05/18_HA_HA_2,M5/M0
no,HA1_HA2,HA_greater_58,5.097670000000001,4.006120000000001,YNGKP_M5/YNGKP_M0,cds_AAA43089_A/Berkeley/1/1968_1968//_HA_HA_2_cds_AFX82085_A/swine/Iowa/A01267774/2012_2012/10/15_HA_HA_1,M5/M0
no,HA2_HA6,HA_greater_58,6.4670299999999985,4.62156,YNGKP_M5/YNGKP_M0,cds_AAA43089_A/Berkeley/1/1968_1968//_HA_HA_2_cds_AGE03021_A/mallard/Wisconsin/10OS3066/2010_2010/10/03_HA_HA_6,M5/M0
no,HA2_HA6,HA_greater_58,6.8313700000000015,4.92123,YNGKP_M5/YNGKP_M0,cds_AAA43089_A/Berkeley/1/1968_1968//_HA_HA_2_cds_AGK41459_A/mallard/Minnesota/182751/1998_1998/09/01_HA_HA_6,M5/M0
no,HA1_HA2,HA_greater_58,4.95782,3.76685,YNGKP_M5/YNGKP_M0,cds_AAA43089_A/Berkeley/1/1968_1968//_HA_HA_2_cds_AGM53850_A/California/07/2009_2009/04/09_HA_HA_1,M5/M0
no,HA2_HA5,HA_greater_58,2.9085400000000003,2.5793,YNGKP_M5/YNGKP_M0,cds_AAA43089_A/Berkeley/1/1968_1968//_HA_HA_2_cds_AGO02528_A/chicken/Taiwan/A1997/2012_2012/02/15_HA_HA_5,M5/M0
no,HA2_HA2,HA_greater_58,0.72811,0.7025899999999999,YNGKP_M5/YNGKP_M0,cds_AAA43089_A/Berkeley/1/1968_1968//_HA_HA_2_cds_AGZ15963_A/mallard/California/2858/2012_2012/07/18_HA_HA_2,M5/M0
no,HA1_HA2,HA_greater_58,4.97964,3.7885199999999997,YNGKP_M5/YNGKP_M0,cds_AAA43089_A/Berkeley/1/1968_1968//_HA_HA_2_cds_AHB72788_A/Castilla_La_Mancha/5911/2009_2009/11/14_HA_HA_1,M5/M0
no,HA2_HA5,HA_greater_58,2.69318,2.37571,YNGKP_M5/YNGKP_M0,cds_AAA43089_A/Berkeley/1/1968_1968//_HA_HA_2_cds_AHL82333_A/gadwall/Mississippi/11OS5840/2011_2011/12/08_HA_HA_5,M5/M0
no,HA2_HA2,HA_greater_58,0.12886,0.1263,YNGKP_M5/YNGKP_M0,cds_AAA43089_A/Berkeley/1/1968_1968//_HA_HA_2_cds_AIU46709_A/Netherlands/M2/1957_1957/07/13_HA_HA_2,M5/M0
no,HA2_HA6,HA_greater_58,6.441740000000001,4.59553,YNGKP_M5/YNGKP_M0,cds_AAA43089_A/Berkeley/1/1968_1968//_HA_HA_2_cds_AMQ29624_A/mallard/Maryland/10OS1918/2010_2010/09/15_HA_HA_6,M5/M0
no,HA2_HA2,HA_greater_58,0.74254,0.7165900000000001,YNGKP_M5/YNGKP_M0,cds_AAA43089_A/Berkeley/1/1968_1968//_HA_HA_2_cds_AMQ32574_A/mallard/Maryland/13OS0886/2013_2013/08/02_HA_HA_2,M5/M0
no,HA2_HA2,HA_greater_58,0.7425,0.71658,YNGKP_M5/YNGKP_M0,cds_AAA43089_A/Berkeley/1/1968_1968//_HA_HA_2_cds_AMQ32658_A/mallard/Maryland/13OS0898/2013_2013/08/02_HA_HA_2,M5/M0
no,HA2_HA5,HA_greater_58,2.8627700000000003,2.53611,YNGKP_M5/YNGKP_M0,cds_AAA43089_A/Berkeley/1/1968_1968//_HA_HA_2_cds_BAM22637_A/muscovy_duck/Vietnam/OIE-0043/2012_2012/02/18_HA_HA_5,M5/M0
no,HA1_HA1,HA_greater_58,0.75308,0.7256400000000001,YNGKP_M5/YNGKP_M0,cds_AAD17229_A/South_Carolina/1/1918_1918//_HA_HA_1_cds_AAL87868_A/Swine/Minnesota/55551/2000_2000//_HA_HA_1,M5/M0
yes,HA1_HA1,HA_greater_58,0.29209,0.28653,YNGKP_M5/YNGKP_M0,cds_AAD17229_A/South_Carolina/1/1918_1918//_HA_HA_1_cds_ABF21278_A/Wilson-Smith/1933_1933//_HA_HA_1,M5/M0
no,HA1_HA5,HA_greater_58,4.43162,3.45157,YNGKP_M5/YNGKP_M0,cds_AAD17229_A/South_Carolina/1/1918_1918//_HA_HA_1_cds_ABI16504_A/China/GD01/2006_2006//_HA_HA_5,M5/M0
no,HA1_HA2,HA_greater_58,4.41729,3.3874,YNGKP_M5/YNGKP_M0,cds_AAD17229_A/South_Carolina/1/1918_1918//_HA_HA_1_cds_ABQ01355_A/Albany/1/1960_1960//_HA_HA_2,M5/M0
no,HA1_HA1,HA_greater_58,0.57962,0.5572600000000001,YNGKP_M5/YNGKP_M0,cds_AAD17229_A/South_Carolina/1/1918_1918//_HA_HA_1_cds_ABU50586_A/Solomon_Islands/3/2006_2006/08/21_HA_HA_1,M5/M0
no,HA1_HA6,HA_greater_58,5.639869999999999,4.10661,YNGKP_M5/YNGKP_M0,cds_AAD17229_A/South_Carolina/1/1918_1918//_HA_HA_1_cds_ABX88810_A/eurasian_coot/Western_Australia/2727/1979_1979//_HA_HA_6,M5/M0
no,HA1_HA1,HA_greater_58,0.8069299999999999,0.78213,YNGKP_M5/YNGKP_M0,cds_AAD17229_A/South_Carolina/1/1918_1918//_HA_HA_1_cds_ACZ45031_A/Norway/3478/2009_2009/09/07_HA_HA_1,M5/M0
no,HA1_HA1,HA_greater_58,0.61059,0.58682,YNGKP_M5/YNGKP_M0,cds_AAD17229_A/South_Carolina/1/1918_1918//_HA_HA_1_cds_ACZ81556_A/Thailand/CU-H565/2009_2009/09/02_HA_HA_1,M5/M0
no,HA1_HA1,HA_greater_58,0.8051999999999999,0.7804399999999999,YNGKP_M5/YNGKP_M0,cds_AAD17229_A/South_Carolina/1/1918_1918//_HA_HA_1_cds_ADG42533_A/Tallinn/INS181/2009_2009/12/21_HA_HA_1,M5/M0
no,HA1_HA6,HA_greater_58,5.56168,4.06837,YNGKP_M5/YNGKP_M0,cds_AAD17229_A/South_Carolina/1/1918_1918//_HA_HA_1_cds_ADG44759_A/duck/Shantou/171/2004_2004//_HA_HA_6,M5/M0
no,HA1_HA2,HA_greater_58,4.2638,3.2794,YNGKP_M5/YNGKP_M0,cds_AAD17229_A/South_Carolina/1/1918_1918//_HA_HA_1_cds_ADX99444_A/chicken/OH/494832/2007_2007/04/_HA_HA_2,M5/M0
no,HA1_HA5,HA_greater_58,4.72794,3.71262,YNGKP_M5/YNGKP_M0,cds_AAD17229_A/South_Carolina/1/1918_1918//_HA_HA_1_cds_AFE48437_A/duck/Taiwan/DV30-2/2005_2005/10/28_HA_HA_5,M5/M0
no,HA1_HA2,HA_greater_58,4.50625,3.4683199999999994,YNGKP_M5/YNGKP_M0,cds_AAD17229_A/South_Carolina/1/1918_1918//_HA_HA_1_cds_AFJ13512_A/shorebird/Delaware_Bay/24/1998_1998/05/18_HA_HA_2,M5/M0
no,HA1_HA1,HA_greater_58,0.7191700000000001,0.6879600000000001,YNGKP_M5/YNGKP_M0,cds_AAD17229_A/South_Carolina/1/1918_1918//_HA_HA_1_cds_AFX82085_A/swine/Iowa/A01267774/2012_2012/10/15_HA_HA_1,M5/M0
no,HA1_HA6,HA_greater_58,5.58631,4.08806,YNGKP_M5/YNGKP_M0,cds_AAD17229_A/South_Carolina/1/1918_1918//_HA_HA_1_cds_AGE03021_A/mallard/Wisconsin/10OS3066/2010_2010/10/03_HA_HA_6,M5/M0
no,HA1_HA6,HA_greater_58,5.95065,4.38773,YNGKP_M5/YNGKP_M0,cds_AAD17229_A/South_Carolina/1/1918_1918//_HA_HA_1_cds_AGK41459_A/mallard/Minnesota/182751/1998_1998/09/01_HA_HA_6,M5/M0
no,HA1_HA1,HA_greater_58,0.7901600000000001,0.76561,YNGKP_M5/YNGKP_M0,cds_AAD17229_A/South_Carolina/1/1918_1918//_HA_HA_1_cds_AGM53850_A/California/07/2009_2009/04/09_HA_HA_1,M5/M0
no,HA1_HA5,HA_greater_58,4.52716,3.53576,YNGKP_M5/YNGKP_M0,cds_AAD17229_A/South_Carolina/1/1918_1918//_HA_HA_1_cds_AGO02528_A/chicken/Taiwan/A1997/2012_2012/02/15_HA_HA_5,M5/M0
no,HA1_HA2,HA_greater_58,4.29577,3.3090300000000004,YNGKP_M5/YNGKP_M0,cds_AAD17229_A/South_Carolina/1/1918_1918//_HA_HA_1_cds_AGZ15963_A/mallard/California/2858/2012_2012/07/18_HA_HA_2,M5/M0
no,HA1_HA1,HA_greater_58,0.8119799999999999,0.78728,YNGKP_M5/YNGKP_M0,cds_AAD17229_A/South_Carolina/1/1918_1918//_HA_HA_1_cds_AHB72788_A/Castilla_La_Mancha/5911/2009_2009/11/14_HA_HA_1,M5/M0
no,HA1_HA5,HA_greater_58,4.3118,3.3321699999999996,YNGKP_M5/YNGKP_M0,cds_AAD17229_A/South_Carolina/1/1918_1918//_HA_HA_1_cds_AHL82333_A/gadwall/Mississippi/11OS5840/2011_2011/12/08_HA_HA_5,M5/M0
no,HA1_HA2,HA_greater_58,4.383859999999999,3.3544199999999997,YNGKP_M5/YNGKP_M0,cds_AAD17229_A/South_Carolina/1/1918_1918//_HA_HA_1_cds_AIU46709_A/Netherlands/M2/1957_1957/07/13_HA_HA_2,M5/M0
no,HA1_HA6,HA_greater_58,5.56102,4.062029999999999,YNGKP_M5/YNGKP_M0,cds_AAD17229_A/South_Carolina/1/1918_1918//_HA_HA_1_cds_AMQ29624_A/mallard/Maryland/10OS1918/2010_2010/09/15_HA_HA_6,M5/M0
no,HA1_HA2,HA_greater_58,4.3102,3.32303,YNGKP_M5/YNGKP_M0,cds_AAD17229_A/South_Carolina/1/1918_1918//_HA_HA_1_cds_AMQ32574_A/mallard/Maryland/13OS0886/2013_2013/08/02_HA_HA_2,M5/M0
no,HA1_HA2,HA_greater_58,4.31016,3.3230199999999996,YNGKP_M5/YNGKP_M0,cds_AAD17229_A/South_Carolina/1/1918_1918//_HA_HA_1_cds_AMQ32658_A/mallard/Maryland/13OS0898/2013_2013/08/02_HA_HA_2,M5/M0
no,HA1_HA5,HA_greater_58,4.48139,3.49257,YNGKP_M5/YNGKP_M0,cds_AAD17229_A/South_Carolina/1/1918_1918//_HA_HA_1_cds_BAM22637_A/muscovy_duck/Vietnam/OIE-0043/2012_2012/02/18_HA_HA_5,M5/M0
yes,HA1_HA1,HA_greater_58,0.9484299999999999,0.8930499999999999,YNGKP_M5/YNGKP_M0,cds_AAL87868_A/Swine/Minnesota/55551/2000_2000//_HA_HA_1_cds_ABF21278_A/Wilson-Smith/1933_1933//_HA_HA_1,M5/M0
no,HA1_HA5,HA_greater_58,4.87712,3.74117,YNGKP_M5/YNGKP_M0,cds_AAL87868_A/Swine/Minnesota/55551/2000_2000//_HA_HA_1_cds_ABI16504_A/China/GD01/2006_2006//_HA_HA_5,M5/M0
no,HA1_HA2,HA_greater_58,4.86279,3.677000000000001,YNGKP_M5/YNGKP_M0,cds_AAL87868_A/Swine/Minnesota/55551/2000_2000//_HA_HA_1_cds_ABQ01355_A/Albany/1/1960_1960//_HA_HA_2,M5/M0
no,HA1_HA1,HA_greater_58,1.23596,1.1637800000000005,YNGKP_M5/YNGKP_M0,cds_AAL87868_A/Swine/Minnesota/55551/2000_2000//_HA_HA_1_cds_ABU50586_A/Solomon_Islands/3/2006_2006/08/21_HA_HA_1,M5/M0
no,HA1_HA6,HA_greater_58,6.085369999999999,4.39621,YNGKP_M5/YNGKP_M0,cds_AAL87868_A/Swine/Minnesota/55551/2000_2000//_HA_HA_1_cds_ABX88810_A/eurasian_coot/Western_Australia/2727/1979_1979//_HA_HA_6,M5/M0
no,HA1_HA1,HA_greater_58,0.32497,0.31869000000000003,YNGKP_M5/YNGKP_M0,cds_AAL87868_A/Swine/Minnesota/55551/2000_2000//_HA_HA_1_cds_ACZ45031_A/Norway/3478/2009_2009/09/07_HA_HA_1,M5/M0
no,HA1_HA1,HA_greater_58,1.26693,1.1933399999999998,YNGKP_M5/YNGKP_M0,cds_AAL87868_A/Swine/Minnesota/55551/2000_2000//_HA_HA_1_cds_ACZ81556_A/Thailand/CU-H565/2009_2009/09/02_HA_HA_1,M5/M0
no,HA1_HA1,HA_greater_58,0.32324,0.317,YNGKP_M5/YNGKP_M0,cds_AAL87868_A/Swine/Minnesota/55551/2000_2000//_HA_HA_1_cds_ADG42533_A/Tallinn/INS181/2009_2009/12/21_HA_HA_1,M5/M0
no,HA1_HA6,HA_greater_58,6.00718,4.35797,YNGKP_M5/YNGKP_M0,cds_AAL87868_A/Swine/Minnesota/55551/2000_2000//_HA_HA_1_cds_ADG44759_A/duck/Shantou/171/2004_2004//_HA_HA_6,M5/M0
no,HA1_HA2,HA_greater_58,4.7093,3.569,YNGKP_M5/YNGKP_M0,cds_AAL87868_A/Swine/Minnesota/55551/2000_2000//_HA_HA_1_cds_ADX99444_A/chicken/OH/494832/2007_2007/04/_HA_HA_2,M5/M0
no,HA1_HA5,HA_greater_58,5.17344,4.00222,YNGKP_M5/YNGKP_M0,cds_AAL87868_A/Swine/Minnesota/55551/2000_2000//_HA_HA_1_cds_AFE48437_A/duck/Taiwan/DV30-2/2005_2005/10/28_HA_HA_5,M5/M0
no,HA1_HA2,HA_greater_58,4.95175,3.75792,YNGKP_M5/YNGKP_M0,cds_AAL87868_A/Swine/Minnesota/55551/2000_2000//_HA_HA_1_cds_AFJ13512_A/shorebird/Delaware_Bay/24/1998_1998/05/18_HA_HA_2,M5/M0
no,HA1_HA1,HA_greater_58,1.3755100000000002,1.29448,YNGKP_M5/YNGKP_M0,cds_AAL87868_A/Swine/Minnesota/55551/2000_2000//_HA_HA_1_cds_AFX82085_A/swine/Iowa/A01267774/2012_2012/10/15_HA_HA_1,M5/M0
no,HA1_HA6,HA_greater_58,6.03181,4.37766,YNGKP_M5/YNGKP_M0,cds_AAL87868_A/Swine/Minnesota/55551/2000_2000//_HA_HA_1_cds_AGE03021_A/mallard/Wisconsin/10OS3066/2010_2010/10/03_HA_HA_6,M5/M0
no,HA1_HA6,HA_greater_58,6.39615,4.67733,YNGKP_M5/YNGKP_M0,cds_AAL87868_A/Swine/Minnesota/55551/2000_2000//_HA_HA_1_cds_AGK41459_A/mallard/Minnesota/182751/1998_1998/09/01_HA_HA_6,M5/M0
no,HA1_HA1,HA_greater_58,0.30820000000000003,0.30217,YNGKP_M5/YNGKP_M0,cds_AAL87868_A/Swine/Minnesota/55551/2000_2000//_HA_HA_1_cds_AGM53850_A/California/07/2009_2009/04/09_HA_HA_1,M5/M0
no,HA1_HA5,HA_greater_58,4.972659999999999,3.82536,YNGKP_M5/YNGKP_M0,cds_AAL87868_A/Swine/Minnesota/55551/2000_2000//_HA_HA_1_cds_AGO02528_A/chicken/Taiwan/A1997/2012_2012/02/15_HA_HA_5,M5/M0
no,HA1_HA2,HA_greater_58,4.74127,3.5986300000000004,YNGKP_M5/YNGKP_M0,cds_AAL87868_A/Swine/Minnesota/55551/2000_2000//_HA_HA_1_cds_AGZ15963_A/mallard/California/2858/2012_2012/07/18_HA_HA_2,M5/M0
no,HA1_HA1,HA_greater_58,0.33002,0.32384,YNGKP_M5/YNGKP_M0,cds_AAL87868_A/Swine/Minnesota/55551/2000_2000//_HA_HA_1_cds_AHB72788_A/Castilla_La_Mancha/5911/2009_2009/11/14_HA_HA_1,M5/M0
no,HA1_HA5,HA_greater_58,4.757300000000001,3.62177,YNGKP_M5/YNGKP_M0,cds_AAL87868_A/Swine/Minnesota/55551/2000_2000//_HA_HA_1_cds_AHL82333_A/gadwall/Mississippi/11OS5840/2011_2011/12/08_HA_HA_5,M5/M0
no,HA1_HA2,HA_greater_58,4.8293599999999985,3.64402,YNGKP_M5/YNGKP_M0,cds_AAL87868_A/Swine/Minnesota/55551/2000_2000//_HA_HA_1_cds_AIU46709_A/Netherlands/M2/1957_1957/07/13_HA_HA_2,M5/M0
no,HA1_HA6,HA_greater_58,6.00652,4.35163,YNGKP_M5/YNGKP_M0,cds_AAL87868_A/Swine/Minnesota/55551/2000_2000//_HA_HA_1_cds_AMQ29624_A/mallard/Maryland/10OS1918/2010_2010/09/15_HA_HA_6,M5/M0
no,HA1_HA2,HA_greater_58,4.755700000000001,3.61263,YNGKP_M5/YNGKP_M0,cds_AAL87868_A/Swine/Minnesota/55551/2000_2000//_HA_HA_1_cds_AMQ32574_A/mallard/Maryland/13OS0886/2013_2013/08/02_HA_HA_2,M5/M0
no,HA1_HA2,HA_greater_58,4.75566,3.6126199999999997,YNGKP_M5/YNGKP_M0,cds_AAL87868_A/Swine/Minnesota/55551/2000_2000//_HA_HA_1_cds_AMQ32658_A/mallard/Maryland/13OS0898/2013_2013/08/02_HA_HA_2,M5/M0
no,HA1_HA5,HA_greater_58,4.92689,3.78217,YNGKP_M5/YNGKP_M0,cds_AAL87868_A/Swine/Minnesota/55551/2000_2000//_HA_HA_1_cds_BAM22637_A/muscovy_duck/Vietnam/OIE-0043/2012_2012/02/18_HA_HA_5,M5/M0
yes,HA1_HA5,HA_greater_58,4.62697,3.61898,YNGKP_M5/YNGKP_M0,cds_ABF21278_A/Wilson-Smith/1933_1933//_HA_HA_1_cds_ABI16504_A/China/GD01/2006_2006//_HA_HA_5,M5/M0
yes,HA1_HA2,HA_greater_58,4.61264,3.55481,YNGKP_M5/YNGKP_M0,cds_ABF21278_A/Wilson-Smith/1933_1933//_HA_HA_1_cds_ABQ01355_A/Albany/1/1960_1960//_HA_HA_2,M5/M0
yes,HA1_HA1,HA_greater_58,0.47507,0.45788999999999996,YNGKP_M5/YNGKP_M0,cds_ABF21278_A/Wilson-Smith/1933_1933//_HA_HA_1_cds_ABU50586_A/Solomon_Islands/3/2006_2006/08/21_HA_HA_1,M5/M0
yes,HA1_HA6,HA_greater_58,5.83522,4.27402,YNGKP_M5/YNGKP_M0,cds_ABF21278_A/Wilson-Smith/1933_1933//_HA_HA_1_cds_ABX88810_A/eurasian_coot/Western_Australia/2727/1979_1979//_HA_HA_6,M5/M0
yes,HA1_HA1,HA_greater_58,1.0022799999999998,0.9495399999999999,YNGKP_M5/YNGKP_M0,cds_ABF21278_A/Wilson-Smith/1933_1933//_HA_HA_1_cds_ACZ45031_A/Norway/3478/2009_2009/09/07_HA_HA_1,M5/M0
yes,HA1_HA1,HA_greater_58,0.5060399999999999,0.48745,YNGKP_M5/YNGKP_M0,cds_ABF21278_A/Wilson-Smith/1933_1933//_HA_HA_1_cds_ACZ81556_A/Thailand/CU-H565/2009_2009/09/02_HA_HA_1,M5/M0
yes,HA1_HA1,HA_greater_58,1.00055,0.94785,YNGKP_M5/YNGKP_M0,cds_ABF21278_A/Wilson-Smith/1933_1933//_HA_HA_1_cds_ADG42533_A/Tallinn/INS181/2009_2009/12/21_HA_HA_1,M5/M0
yes,HA1_HA6,HA_greater_58,5.75703,4.23578,YNGKP_M5/YNGKP_M0,cds_ABF21278_A/Wilson-Smith/1933_1933//_HA_HA_1_cds_ADG44759_A/duck/Shantou/171/2004_2004//_HA_HA_6,M5/M0
yes,HA1_HA2,HA_greater_58,4.45915,3.44681,YNGKP_M5/YNGKP_M0,cds_ABF21278_A/Wilson-Smith/1933_1933//_HA_HA_1_cds_ADX99444_A/chicken/OH/494832/2007_2007/04/_HA_HA_2,M5/M0
yes,HA1_HA5,HA_greater_58,4.92329,3.88003,YNGKP_M5/YNGKP_M0,cds_ABF21278_A/Wilson-Smith/1933_1933//_HA_HA_1_cds_AFE48437_A/duck/Taiwan/DV30-2/2005_2005/10/28_HA_HA_5,M5/M0
yes,HA1_HA2,HA_greater_58,4.7016,3.63573,YNGKP_M5/YNGKP_M0,cds_ABF21278_A/Wilson-Smith/1933_1933//_HA_HA_1_cds_AFJ13512_A/shorebird/Delaware_Bay/24/1998_1998/05/18_HA_HA_2,M5/M0
yes,HA1_HA1,HA_greater_58,0.6146199999999999,0.58859,YNGKP_M5/YNGKP_M0,cds_ABF21278_A/Wilson-Smith/1933_1933//_HA_HA_1_cds_AFX82085_A/swine/Iowa/A01267774/2012_2012/10/15_HA_HA_1,M5/M0
yes,HA1_HA6,HA_greater_58,5.7816600000000005,4.25547,YNGKP_M5/YNGKP_M0,cds_ABF21278_A/Wilson-Smith/1933_1933//_HA_HA_1_cds_AGE03021_A/mallard/Wisconsin/10OS3066/2010_2010/10/03_HA_HA_6,M5/M0
yes,HA1_HA6,HA_greater_58,6.146000000000001,4.55514,YNGKP_M5/YNGKP_M0,cds_ABF21278_A/Wilson-Smith/1933_1933//_HA_HA_1_cds_AGK41459_A/mallard/Minnesota/182751/1998_1998/09/01_HA_HA_6,M5/M0
yes,HA1_HA1,HA_greater_58,0.98551,0.9330200000000001,YNGKP_M5/YNGKP_M0,cds_ABF21278_A/Wilson-Smith/1933_1933//_HA_HA_1_cds_AGM53850_A/California/07/2009_2009/04/09_HA_HA_1,M5/M0
yes,HA1_HA5,HA_greater_58,4.72251,3.70317,YNGKP_M5/YNGKP_M0,cds_ABF21278_A/Wilson-Smith/1933_1933//_HA_HA_1_cds_AGO02528_A/chicken/Taiwan/A1997/2012_2012/02/15_HA_HA_5,M5/M0
yes,HA1_HA2,HA_greater_58,4.49112,3.47644,YNGKP_M5/YNGKP_M0,cds_ABF21278_A/Wilson-Smith/1933_1933//_HA_HA_1_cds_AGZ15963_A/mallard/California/2858/2012_2012/07/18_HA_HA_2,M5/M0
yes,HA1_HA1,HA_greater_58,1.0073299999999998,0.9546899999999999,YNGKP_M5/YNGKP_M0,cds_ABF21278_A/Wilson-Smith/1933_1933//_HA_HA_1_cds_AHB72788_A/Castilla_La_Mancha/5911/2009_2009/11/14_HA_HA_1,M5/M0
yes,HA1_HA5,HA_greater_58,4.507149999999998,3.4995800000000004,YNGKP_M5/YNGKP_M0,cds_ABF21278_A/Wilson-Smith/1933_1933//_HA_HA_1_cds_AHL82333_A/gadwall/Mississippi/11OS5840/2011_2011/12/08_HA_HA_5,M5/M0
yes,HA1_HA2,HA_greater_58,4.57921,3.5218300000000005,YNGKP_M5/YNGKP_M0,cds_ABF21278_A/Wilson-Smith/1933_1933//_HA_HA_1_cds_AIU46709_A/Netherlands/M2/1957_1957/07/13_HA_HA_2,M5/M0
yes,HA1_HA6,HA_greater_58,5.7563699999999995,4.22944,YNGKP_M5/YNGKP_M0,cds_ABF21278_A/Wilson-Smith/1933_1933//_HA_HA_1_cds_AMQ29624_A/mallard/Maryland/10OS1918/2010_2010/09/15_HA_HA_6,M5/M0
yes,HA1_HA2,HA_greater_58,4.50555,3.49044,YNGKP_M5/YNGKP_M0,cds_ABF21278_A/Wilson-Smith/1933_1933//_HA_HA_1_cds_AMQ32574_A/mallard/Maryland/13OS0886/2013_2013/08/02_HA_HA_2,M5/M0
yes,HA1_HA2,HA_greater_58,4.505510000000001,3.4904300000000004,YNGKP_M5/YNGKP_M0,cds_ABF21278_A/Wilson-Smith/1933_1933//_HA_HA_1_cds_AMQ32658_A/mallard/Maryland/13OS0898/2013_2013/08/02_HA_HA_2,M5/M0
yes,HA1_HA5,HA_greater_58,4.6767400000000015,3.6599800000000005,YNGKP_M5/YNGKP_M0,cds_ABF21278_A/Wilson-Smith/1933_1933//_HA_HA_1_cds_BAM22637_A/muscovy_duck/Vietnam/OIE-0043/2012_2012/02/18_HA_HA_5,M5/M0
no,HA2_HA5,HA_greater_58,2.75505,2.44523,YNGKP_M5/YNGKP_M0,cds_ABI16504_A/China/GD01/2006_2006//_HA_HA_5_cds_ABQ01355_A/Albany/1/1960_1960//_HA_HA_2,M5/M0
no,HA1_HA5,HA_greater_58,4.9145,3.88971,YNGKP_M5/YNGKP_M0,cds_ABI16504_A/China/GD01/2006_2006//_HA_HA_5_cds_ABU50586_A/Solomon_Islands/3/2006_2006/08/21_HA_HA_1,M5/M0
no,HA5_HA6,HA_greater_58,6.47697,4.6544,YNGKP_M5/YNGKP_M0,cds_ABI16504_A/China/GD01/2006_2006//_HA_HA_5_cds_ABX88810_A/eurasian_coot/Western_Australia/2727/1979_1979//_HA_HA_6,M5/M0
no,HA1_HA5,HA_greater_58,4.930969999999999,3.79766,YNGKP_M5/YNGKP_M0,cds_ABI16504_A/China/GD01/2006_2006//_HA_HA_5_cds_ACZ45031_A/Norway/3478/2009_2009/09/07_HA_HA_1,M5/M0
